id,number,base_offset,material,function,thickness
sl-4,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-16,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-20,,2.924,Metal Stud Layer,floor,0.111
sl-32,,2.924,Metal Stud Layer,floor,0.111
sl-54,,0.356,Grass - Turf,floor,0
sl-55,,0.711,Planting Bed,floor,0.102
sl-56,,0.711,Planting Bed,floor,0.102
sl-57,,0.711,Planting Bed,floor,0.102
sl-58,,0.33,Grass - Turf,floor,0
sl-59,,0.33,Grass - Turf,floor,0
sl-60,,0.406,Sculpture Bed,floor,0.127
sl-61,,0.305,Exterior Decking,floor,0.051
sl-66,,0,"Concrete, Polished",floor,0.152
sl-70,,0,"Concrete, Precast",floor,0.152
sl-80,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-81,,-0.051,"Concrete, Cast-in-Place gray",floor,0.102
sl-115,,2.924,Metal Stud Layer,floor,0.111
sl-124,,-0.051,"Concrete, Cast-in-Place gray",floor,0.102
sl-126,,0,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-148,,0,"Concrete, Precast",floor,0.152
sl-149,,0,"Concrete, Polished",floor,0.152
sl-150,,0,"Concrete, Precast",floor,0.152
sl-151,,0,"Concrete, Polished",floor,0.152
sl-160,,0,"Concrete, Precast",floor,0.152
sl-161,,0,"Concrete, Polished",floor,0.152
sl-182,,0.711,Planting Bed,floor,0.102
sl-184,,-0.711,"Concrete, Precast",floor,0.152
sl-193,,,"Concrete, Lightweight",roof,0.152
sl-194,,,"Concrete, Lightweight",roof,0.152
sl-209,,,Rigid insulation,roof,0
sl-210,,,Rigid insulation,roof,0
